MicroHit	TaxHit	HitID	Class
Methylobacterium bullatum	Methylobacterium bullatum	MRH889	bacteria
Methylobacterium mesophilicum	Methylobacterium mesophilicum	MRH890	bacteria
Dolosigranulum	Dolosigranulum	MRH891	bacteria
Dolosigranulum pigrum	Dolosigranulum pigrum	MRH892	bacteria
Polymorphum	Polymorphum	MRH893	bacteria
Polymorphum gilvum	Polymorphum gilvum	MRH894	bacteria
Altererythrobacter	Altererythrobacter	MRH895	bacteria
Caulobacter vibrioides	Caulobacter vibrioides	MRH896	bacteria
Clavibacter	Clavibacter	MRH897	bacteria
Clavibacter michiganensis	Clavibacter michiganensis	MRH898	bacteria
Chryseobacterium gleum	Chryseobacterium gleum	MRH899	bacteria
Aminobacter aminovorans	Aminobacter aminovorans	MRH900	bacteria
Sphingobacterium hotanense	Sphingobacterium hotanense	MRH901	bacteria
Brevundimonas sp. 'scallop'	Brevundimonas sp. 'scallop'	MRH902	bacteria
Geodermatophilus	Geodermatophilus	MRH903	bacteria
Pseudorhodoplanes	Pseudorhodoplanes	MRH904	bacteria
Pseudorhodoplanes sinuspersici	Pseudorhodoplanes sinuspersici	MRH905	bacteria
Alicycliphilus denitrificans	Alicycliphilus denitrificans	MRH906	bacteria
Actinomyces dentalis	Actinomyces dentalis	MRH907	bacteria
Actinomyces sp. oral taxon 448	Actinomyces sp. oral taxon 448	MRH908	bacteria
Staphylococcus caprae	Staphylococcus caprae	MRH909	bacteria
Prevotella nigrescens	Prevotella nigrescens	MRH910	bacteria
Campylobacter	Campylobacter	MRH911	bacteria
Campylobacter gracilis	Campylobacter gracilis	MRH912	bacteria
Pseudoalteromonas translucida	Pseudoalteromonas translucida	MRH913	bacteria
Neisseria bacilliformis	Neisseria bacilliformis	MRH914	bacteria
Pantoea ananatis	Pantoea ananatis	MRH915	bacteria
Pantoea vagans	Pantoea vagans	MRH916	bacteria
Rhizobium sp.	Rhizobium sp.	MRH917	bacteria
Pseudomonas luteola	Pseudomonas luteola	MRH918	bacteria
Pseudomonas sp. LTJR-52	Pseudomonas sp. LTJR-52	MRH919	bacteria
[Haemophilus] ducreyi	[Haemophilus] ducreyi	MRH920	bacteria
Corynebacterium lactis	Corynebacterium lactis	MRH921	bacteria
Mogibacterium pumilum	Mogibacterium pumilum	MRH922	bacteria
Kocuria rosea	Kocuria rosea	MRH923	bacteria
Paracoccus sp.	Paracoccus sp.	MRH924	bacteria
Paracoccus marcusii	Paracoccus marcusii	MRH925	bacteria
Paracoccus zhejiangensis	Paracoccus zhejiangensis	MRH926	bacteria
Capnocytophaga ochracea	Capnocytophaga ochracea	MRH927	bacteria
Capnocytophaga leadbetteri	Capnocytophaga leadbetteri	MRH928	bacteria
Didymella exigua	Didymella exigua	MRH929	fungus
Buchnera	Buchnera	MRH930	bacteria
Buchnera aphidicola	Buchnera aphidicola	MRH931	bacteria
Malassezia vespertilionis	Malassezia vespertilionis	MRH932	fungus
non-genus-specific reads in family Burkholderiaceae	Burkholderiaceae	MRH933	bacteria
Burkholderiaceae bacterium	Burkholderiaceae bacterium	MRH934	bacteria
Erwinia gerundensis	Erwinia gerundensis	MRH935	bacteria
Bradyrhizobium canariense	Bradyrhizobium canariense	MRH936	bacteria
Mesorhizobium sp.	Mesorhizobium sp.	MRH937	bacteria
Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae	MRH938	bacteria
Dialister	Dialister	MRH939	bacteria
Filifactor	Filifactor	MRH940	bacteria
Filifactor alocis	Filifactor alocis	MRH941	bacteria
Afipia sp. GAS231	Afipia sp. GAS231	MRH942	bacteria
Leucobacter	Leucobacter	MRH943	bacteria
Paraburkholderia tropica	Paraburkholderia tropica	MRH944	bacteria
Citrobacter sp. RHBSTW-00976	Citrobacter sp. RHBSTW-00976	MRH945	bacteria
Aeromicrobium	Aeromicrobium	MRH946	bacteria
Brevundimonas naejangsanensis	Brevundimonas naejangsanensis	MRH947	bacteria
Bosea	Bosea	MRH948	bacteria
Bosea vaviloviae	Bosea vaviloviae	MRH949	bacteria
Friedmanniella luteola	Friedmanniella luteola	MRH950	bacteria
Ottowia	Ottowia	MRH951	bacteria
Oligotropha	Afipia	MRH871	bacteria
Oligotropha carboxidovorans	Afipia carboxidovorans	MRH952	bacteria
Burkholderia multivorans	Burkholderia multivorans	MRH953	bacteria
Cupriavidus sp. ISTL7	Cupriavidus sp. ISTL7	MRH954	bacteria
Streptomyces	Streptomyces	MRH955	bacteria
Pseudomonas balearica	Stutzerimonas balearica	MRH956	bacteria
Acidovorax avenae	Acidovorax avenae	MRH957	bacteria
Cupriavidus taiwanensis	Cupriavidus taiwanensis	MRH958	bacteria
Asaia bogorensis	Asaia bogorensis	MRH959	bacteria
Brucella	Brucella	MRH960	bacteria
Acidovorax sp. 1608163	Acidovorax sp. 1608163	MRH961	bacteria
Geobacillus	Geobacillus	MRH962	bacteria
Geobacillus stearothermophilus	Geobacillus stearothermophilus	MRH963	bacteria
Acidovorax sp. JMULE5	Acidovorax sp. JMULE5	MRH964	bacteria
[Polyangium] brachysporum	Schlegelella brevitalea	MRH965	bacteria
Trypanosoma	Trypanosoma	MRH966	other_eukaryota
Burkholderia contaminans	Burkholderia contaminans	MRH967	bacteria
Paenibacillus	Paenibacillus	MRH968	bacteria
Acinetobacter sp. MYb10	Acinetobacter sp. MYb10	MRH969	bacteria
Acinetobacter dispersus	Acinetobacter dispersus	MRH970	bacteria
Acinetobacter wuhouensis	Acinetobacter wuhouensis	MRH971	bacteria
Acinetobacter sp.	Acinetobacter sp.	MRH972	bacteria
Acinetobacter calcoaceticus	Acinetobacter calcoaceticus	MRH973	bacteria
Paenibacillus xylanexedens	Paenibacillus xylanexedens	MRH974	bacteria
Paenibacillus sp. JNUCC-31	Paenibacillus sp. JNUCC-31	MRH975	bacteria
Paenibacillus pabuli	Paenibacillus pabuli	MRH976	bacteria
Azospirillum humicireducens	Azospirillum humicireducens	MRH977	bacteria
Pseudomonas syringae group genomosp. 3	Pseudomonas syringae group genomosp. 3	MRH978	bacteria
Anaerolinea	Anaerolinea	MRH979	bacteria
Anaerolinea thermophila	Anaerolinea thermophila	MRH980	bacteria
Swingsia	Swingsia	MRH981	bacteria
Bacillus mobilis	Bacillus mobilis	MRH982	bacteria
Acetobacter	Acetobacter	MRH983	bacteria
Acetobacter orientalis	Acetobacter orientalis	MRH984	bacteria
Bacteroides uniformis	Bacteroides uniformis	MRH985	bacteria
Alistipes	Alistipes	MRH986	bacteria
Collinsella	Collinsella	MRH987	bacteria
Collinsella aerofaciens	Collinsella aerofaciens	MRH988	bacteria
Shigella sonnei	Shigella sonnei	MRH989	bacteria
Meiothermus	Meiothermus	MRH990	bacteria
Meiothermus silvanus	Meiothermus silvanus	MRH991	bacteria
Azospirillum	Azospirillum	MRH992	bacteria
Botrytis fragariae	Botrytis fragariae	MRH993	fungus
Botrytis cinerea	Botrytis cinerea	MRH994	fungus
Cladosporium	Cladosporium	MRH995	fungus
Cladosporium herbarum	Cladosporium herbarum	MRH996	fungus
Cladosporium cladosporioides	Cladosporium cladosporioides	MRH997	fungus
Sclerotinia	Sclerotinia	MRH998	fungus
Sclerotinia sclerotiorum	Sclerotinia sclerotiorum	MRH999	fungus
Pseudomonas sp. ADAK13	Pseudomonas sp. ADAK13	MRH1000	bacteria
Pseudomonas multiresinivorans	Pseudomonas multiresinivorans	MRH1001	bacteria
Cedecea	Cedecea	MRH1002	bacteria
Cedecea neteri	Cedecea neteri	MRH1003	bacteria
Bradyrhizobium sp. BTAi1	Bradyrhizobium sp. BTAi1	MRH1004	bacteria
Methylobacterium oryzae	Methylobacterium oryzae	MRH1005	bacteria
Arthrobacter	Arthrobacter	MRH1006	bacteria
Shigella dysenteriae	Shigella dysenteriae	MRH1007	bacteria
Shigella boydii	Shigella boydii	MRH1008	bacteria
Penicillium arizonense	Penicillium arizonense	MRH1009	fungus
Pseudogymnoascus	Pseudogymnoascus	MRH1010	fungus
Pseudomonas trivialis	Pseudomonas trivialis	MRH1011	bacteria
Pseudomonas azotoformans	Pseudomonas azotoformans	MRH1012	bacteria
Lactobacillus	Lactobacillus	MRH1013	bacteria
Lactobacillus iners	Lactobacillus iners	MRH1014	bacteria
Staphylococcus succinus	Staphylococcus succinus	MRH1015	bacteria
Bradyrhizobium amphicarpaeae	Bradyrhizobium amphicarpaeae	MRH1016	bacteria
Bradyrhizobium sp. CCGE-LA001	Bradyrhizobium sp. CCGE-LA001	MRH1017	bacteria
Deinococcus soli Cha et al. 2016	Deinococcus soli (ex Cha et al. 2016)	MRH1018	bacteria
Alternaria arborescens	Alternaria arborescens	MRH1019	fungus
Bipolaris victoriae	Bipolaris victoriae	MRH1020	fungus
Bipolaris zeicola	Bipolaris zeicola	MRH1021	fungus
Theileria	Theileria	MRH1022	other_eukaryota
Theileria ovis	Theileria ovis	MRH1023	other_eukaryota
Serratia fonticola	Serratia fonticola	MRH1024	bacteria
Streptomyces zhaozhouensis	Streptomyces zhaozhouensis	MRH1025	bacteria
Moesziomyces	Moesziomyces	MRH1026	fungus
Macroventuria	Macroventuria	MRH1027	fungus
Macroventuria anomochaeta	Macroventuria anomochaeta	MRH1028	fungus
Entomortierella chlamydospora	Entomortierella chlamydospora	MRH1029	fungus
Scheffersomyces	Scheffersomyces	MRH1030	fungus
Scheffersomyces stipitis	Scheffersomyces stipitis	MRH1031	fungus
Deinococcus wulumuqiensis	Deinococcus wulumuqiensis	MRH1032	bacteria
[Candida] haemuloni	[Candida] haemuloni	MRH1033	fungus
Diplodia	Diplodia	MRH1034	fungus
Diplodia corticola	Diplodia corticola	MRH1035	fungus
Parastagonospora	Parastagonospora	MRH1036	fungus
Parastagonospora nodorum	Parastagonospora nodorum	MRH1037	fungus
Kazachstania	Kazachstania	MRH1038	fungus
Streptomyces malaysiensis	Streptomyces malaysiensis	MRH1039	bacteria
Burkholderia vietnamiensis	Burkholderia vietnamiensis	MRH1040	bacteria
Cellvibrio japonicus	Cellvibrio japonicus	MRH1041	bacteria
Corynebacterium vitaeruminis	Corynebacterium vitaeruminis	MRH1042	bacteria
Corynebacterium variabile	Corynebacterium variabile	MRH1043	bacteria
Rubrobacter	Rubrobacter	MRH1044	bacteria
Rubrobacter xylanophilus	Rubrobacter xylanophilus	MRH1045	bacteria
Mycoplasmopsis	Mycoplasmopsis	MRH1046	bacteria
Mycoplasma bovis	Mycoplasmopsis bovis	MRH1047	bacteria
Mycoplasma	Mycoplasma	MRH1048	bacteria
Mycoplasma hyorhinis	Mesomycoplasma hyorhinis	MRH1049	bacteria
Buttiauxella	Buttiauxella	MRH1050	bacteria
Buttiauxella agrestis	Buttiauxella agrestis	MRH1051	bacteria
Starmerella	Starmerella	MRH1052	fungus
non-genus-specific reads in family Enterobacteriaceae	Enterobacteriaceae	MRH1053	bacteria
Enterobacteriaceae bacterium ENNIH1	Enterobacteriaceae bacterium ENNIH1	MRH1054	bacteria
Limnobacter	Limnobacter	MRH1055	bacteria
Enterococcus faecalis	Enterococcus faecalis	MRH1056	bacteria
Amycolatopsis	Amycolatopsis	MRH1057	bacteria
Bdellovibrio	Bdellovibrio	MRH1058	bacteria
Bdellovibrio bacteriovorus	Bdellovibrio bacteriovorus	MRH1059	bacteria
Pseudomonas psychrophila	Pseudomonas psychrophila	MRH1060	bacteria
Pseudomonas antarctica	Pseudomonas antarctica	MRH1061	bacteria
Enterobacter roggenkampii	Enterobacter roggenkampii	MRH1062	bacteria
Microbacterium sp. PM5	Microbacterium sp. PM5	MRH1063	bacteria
Sphingobacterium sp. CZ-2	Sphingobacterium sp. CZ-2	MRH1064	bacteria
Phytobacter	Phytobacter	MRH1065	bacteria
Phytobacter ursingii	Phytobacter ursingii	MRH1066	bacteria
Dietzia timorensis	Dietzia timorensis	MRH1067	bacteria
Zygosaccharomyces bailii	Zygosaccharomyces bailii	MRH1068	fungus
Saccharomyces pastorianus	Saccharomyces pastorianus	MRH1069	fungus
Saccharomyces kudriavzevii	Saccharomyces kudriavzevii	MRH1070	fungus
Starmerella apicola	Starmerella apicola	MRH1071	fungus
Plasmodium berghei	Plasmodium berghei	MRH1072	other_eukaryota
Aeromonas dhakensis	Aeromonas dhakensis	MRH1073	bacteria
Burkholderia lata	Burkholderia lata	MRH1074	bacteria
Pyrenophora tritici-repentis	Pyrenophora tritici-repentis	MRH1075	fungus
Dothidotthia	Dothidotthia	MRH1076	fungus
Dothidotthia symphoricarpi	Dothidotthia symphoricarpi	MRH1077	fungus
Stemphylium	Stemphylium	MRH1078	fungus
Pseudogymnoascus destructans	Pseudogymnoascus destructans	MRH1079	fungus
Kluyvera	Kluyvera	MRH1080	bacteria
Mycoplasma wenyonii	Mycoplasma wenyonii	MRH1081	bacteria
Croceicoccus	Croceicoccus	MRH1082	bacteria
Yersinia frederiksenii	Yersinia frederiksenii	MRH1083	bacteria
Pseudomonas sp. IB20	Pseudomonas sp. IB20	MRH1084	bacteria
Pseudomonas orientalis	Pseudomonas orientalis	MRH1085	bacteria
Sordaria	Sordaria	MRH1086	fungus
Sordaria macrospora	Sordaria macrospora	MRH1087	fungus
Acidovorax sp. KKS102	Acidovorax sp. KKS102	MRH1088	bacteria
Diaphorobacter sp. JS3051	Diaphorobacter sp. JS3051	MRH1089	bacteria
Methylococcus	Methylococcus	MRH1090	bacteria
Methylococcus capsulatus	Methylococcus capsulatus	MRH1091	bacteria
Deinococcus geothermalis	Deinococcus geothermalis	MRH1092	bacteria
Sphingopyxis sp. 113P3	Sphingopyxis sp. 113P3	MRH1093	bacteria
Hyphomicrobium	Hyphomicrobium	MRH1094	bacteria
Claviceps	Claviceps	MRH1095	fungus
Claviceps purpurea	Claviceps purpurea	MRH1096	fungus
Microcystis	Microcystis	MRH1097	bacteria
Microcystis aeruginosa	Microcystis aeruginosa	MRH1098	bacteria
Zasmidium	Zasmidium	MRH1099	fungus
Zasmidium cellare	Zasmidium cellare	MRH1100	fungus
Escherichia fergusonii	Escherichia fergusonii	MRH1101	bacteria
Burkholderia sp. RPE67	Burkholderia sp. RPE67	MRH1102	bacteria
Metschnikowia reukaufii	Metschnikowia reukaufii	MRH1103	fungus
Methylobacterium sp. 17Sr1-43	Methylobacterium radiodurans	MRH1104	bacteria
Methylobacterium terrae	Methylobacterium terrae	MRH1105	bacteria
Methylobacterium currus	Methylobacterium currus	MRH1106	bacteria
Methylobacterium sp. WL1	Methylobacterium sp. WL1	MRH1107	bacteria
Methylobacterium sp. 4-46	Methylobacterium sp. 4-46	MRH1108	bacteria
Methylobacterium sp. XJLW	Methylobacterium sp. XJLW	MRH1109	bacteria
Sparassis	Sparassis	MRH1110	fungus
Sparassis crispa	Sparassis crispa	MRH1111	fungus
Pseudomonas lurida	Pseudomonas lurida	MRH1112	bacteria
Pseudomonas rhodesiae	Pseudomonas rhodesiae	MRH1113	bacteria
Pseudomonas sp. TKP	Pseudomonas sp. TKP	MRH1114	bacteria
Pseudomonas brassicacearum	Pseudomonas brassicacearum	MRH1115	bacteria
Curvibacter gracilis	Curvibacter gracilis	MRH1116	bacteria
Anabaena	Anabaena	MRH1117	bacteria
Anabaena sp. YBS01	Anabaena sp. YBS01	MRH1118	bacteria
Methylophilus sp. TWE2	Methylophilus sp. TWE2	MRH1119	bacteria
Sydowia	Sydowia	MRH1120	fungus
Sydowia polyspora	Sydowia polyspora	MRH1121	fungus
Wolbachia	Wolbachia	MRH1122	bacteria
Leifsonia shinshuensis	Leifsonia shinshuensis	MRH1123	bacteria
Achromobacter spanius	Achromobacter spanius	MRH1124	bacteria
Achromobacter deleyi	Achromobacter deleyi	MRH1125	bacteria
Achromobacter ruhlandii	Achromobacter ruhlandii	MRH1126	bacteria
Enterococcus faecium	Enterococcus faecium	MRH1127	bacteria
Sphingomonas ursincola	Sphingomonas ursincola	MRH1128	bacteria
Sphingomonas sp. MK52	Rhizorhabdus phycosphaerae	MRH1129	bacteria
Sphingomonas sanxanigenens	Sphingomonas sanxanigenens	MRH1130	bacteria
Croceicoccus sp. YJ47	Croceicoccus sp. YJ47	MRH1131	bacteria
Croceicoccus naphthovorans	Croceicoccus naphthovorans	MRH1132	bacteria
Croceicoccus marinus	Croceicoccus marinus	MRH1133	bacteria
Exophiala spinifera	Exophiala spinifera	MRH1134	fungus
Phytophthora	Phytophthora	MRH1135	other_eukaryota
Selenomonas sputigena	Selenomonas sputigena	MRH1136	bacteria
Rothia amarae	Rothia amarae	MRH1137	bacteria
Aquabacterium olei	Aquabacterium olei	MRH1138	bacteria
Porphyrobacter	Porphyrobacter	MRH1139	bacteria
Porphyrobacter sp. CACIAM 03H1	Porphyrobacter sp. CACIAM 03H1	MRH1140	bacteria
Porphyrobacter sp. YT40	Porphyrobacter sp. YT40	MRH1141	bacteria
Porphyrobacter sp. HT-58-2	Porphyrobacter sp. HT-58-2	MRH1142	bacteria
Porphyrobacter sp. LM 6	Porphyrobacter sp. LM 6	MRH1143	bacteria
Dechloromonas	Dechloromonas	MRH1144	bacteria
Novosphingobium pentaromativorans	Novosphingobium pentaromativorans	MRH1145	bacteria
Novosphingobium aromaticivorans	Novosphingobium aromaticivorans	MRH1146	bacteria
Novosphingobium sp. THN1	Novosphingobium sp. THN1	MRH1147	bacteria
Aurantiacibacter	Aurantiacibacter	MRH1148	bacteria
Qipengyuania	Qipengyuania	MRH1149	bacteria
Qipengyuania flava	Qipengyuania flava	MRH1150	bacteria
Sphingopyxis sp. FD7	Sphingopyxis sp. FD7	MRH1151	bacteria
Sphingopyxis fribergensis	Sphingopyxis fribergensis	MRH1152	bacteria
Sphingopyxis granuli	Sphingopyxis granuli	MRH1153	bacteria
Sphingobium sp. RSMS	Sphingobium sp. RSMS	MRH1154	bacteria
Sphingobium sp. TKS	Sphingobium sp. TKS	MRH1155	bacteria
Sphingobium japonicum	Sphingobium indicum	MRH1156	bacteria
Sphingobium fuliginis	Sphingobium fuliginis	MRH1157	bacteria
Sphingobium sp. YG1	Sphingobium sp. YG1	MRH1158	bacteria
Caulobacter sp. FWC26	Caulobacter sp. FWC26	MRH1159	bacteria
Methylobacillus	Methylobacillus	MRH1160	bacteria
Actinomadura	Actinomadura	MRH1161	bacteria
Corynebacterium imitans	Corynebacterium imitans	MRH1162	bacteria
Mycolicibacterium mucogenicum	Mycolicibacterium mucogenicum	MRH1163	bacteria
Methylibium	Methylibium	MRH1164	bacteria
Elizabethkingia bruuniana	Elizabethkingia bruuniana	MRH1165	bacteria
Elizabethkingia anophelis	Elizabethkingia anophelis	MRH1166	bacteria
Roseomonas sp. FDAARGOS_362	Roseomonas sp. FDAARGOS_362	MRH1167	bacteria
Granulibacter	Granulibacter	MRH1168	bacteria
Granulibacter bethesdensis	Granulibacter bethesdensis	MRH1169	bacteria
Geodermatophilus obscurus	Geodermatophilus obscurus	MRH1170	bacteria
Rhizorhabdus	Rhizorhabdus	MRH1171	bacteria
Roseateles	Roseateles	MRH1172	bacteria
Sorangium	Sorangium	MRH1173	bacteria
Sorangium cellulosum	Sorangium cellulosum	MRH1174	bacteria
Wickerhamiella domercqiae	Wickerhamiella domercqiae	MRH1175	fungus
Mameliella	Mameliella	MRH1176	bacteria
Mameliella alba	Mameliella alba	MRH1177	bacteria
Zygosaccharomyces parabailii	Zygosaccharomyces parabailii	MRH1178	fungus
Starmerella sp. CLIB 1634	Starmerella sp. CLIB 1634	MRH1179	fungus
Maricaulis maris	Maricaulis maris	MRH1180	bacteria
Undibacterium	Undibacterium	MRH1181	bacteria
Undibacterium squillarum	Undibacterium squillarum	MRH1182	bacteria
Alcanivorax xenomutans	Alcanivorax xenomutans	MRH1183	bacteria
Muricauda ruestringensis	Muricauda ruestringensis	MRH1184	bacteria
Candidatus Phaeomarinobacter	Candidatus Phaeomarinobacter	MRH1185	bacteria
Candidatus Phaeomarinobacter ectocarpi	Candidatus Phaeomarinobacter ectocarpi	MRH1186	bacteria
Marinobacter hydrocarbonoclasticus	Marinobacter nauticus	MRH1187	bacteria
Marinobacter sp. LQ44	Marinobacter sp. LQ44	MRH1188	bacteria
Erythrobacter sp. THAF29	Erythrobacter sp. THAF29	MRH1189	bacteria
Erythrobacter mangrovi	Erythrobacter mangrovi	MRH1190	bacteria
Symbiodinium sp. Mf1.05b	Symbiodinium sp. Mf1.05b	MRH1191	other_eukaryota
Limnobacter sp. SAORIC-580	Limnobacter sp. SAORIC-580	MRH1192	bacteria
Methylobacterium durans	Methylobacterium durans	MRH1193	bacteria
Blastomonas	Blastomonas	MRH1194	bacteria
Blastomonas fulva	Blastomonas fulva	MRH1195	bacteria
Lactobacillus bombicola	Lactobacillus bombicola	MRH1196	bacteria
Burkholderia cepacia	Burkholderia cepacia	MRH1197	bacteria
Natronomonas	Natronomonas	MRH1198	archaea
Natronomonas sp. C90	Natronomonas halophila	MRH1199	archaea
Nordella	Nordella	MRH1200	bacteria
Nordella sp. HKS 07	Nordella sp. HKS 07	MRH1201	bacteria
Arenibacter algicola	Arenibacter algicola	MRH1202	bacteria
Raoultella planticola	Raoultella planticola	MRH1203	bacteria
Aurantiacibacter atlanticus	Aurantiacibacter atlanticus	MRH1204	bacteria
Candidatus Fonsibacter	Candidatus Fonsibacter	MRH1205	bacteria
Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter ubiquis	MRH1206	bacteria
Roseovarius sp. THAF9	Roseovarius sp. THAF9	MRH1207	bacteria
Antarctobacter	Antarctobacter	MRH1208	bacteria
Antarctobacter heliothermus	Antarctobacter heliothermus	MRH1209	bacteria
Candidatus Methylopumilus	Candidatus Methylopumilus	MRH1210	bacteria
Candidatus Methylopumilus rimovensis	Candidatus Methylopumilus rimovensis	MRH1211	bacteria
Mycolicibacterium aubagnense	Mycolicibacterium aubagnense	MRH1212	bacteria
Methylophilus	Methylophilus	MRH1213	bacteria
Pseudomonas sp. S35	Pseudomonas sp. S35	MRH1214	bacteria
Pseudomonas tolaasii	Pseudomonas tolaasii	MRH1215	bacteria
Sphingomonas sp. A4	Sphingomonas sp. A4	MRH1216	bacteria
Sphingomonas wittichii	Rhizorhabdus wittichii	MRH1217	bacteria
Sulfitobacter	Sulfitobacter	MRH1218	bacteria
Sinorhizobium sp. RAC02	Sinorhizobium sp. RAC02	MRH1219	bacteria
Salegentibacter	Salegentibacter	MRH1220	bacteria
Bosea sp. RAC05	Bosea sp. RAC05	MRH1221	bacteria
Celeribacter	Celeribacter	MRH1222	bacteria
Salipiger	Salipiger	MRH1223	bacteria
Synechococcus	Synechococcus	MRH1224	bacteria
Synechococcus elongatus	Synechococcus elongatus	MRH1225	bacteria
Microbacterium sp. 10M-3C3	Microbacterium sp. 10M-3C3	MRH1226	bacteria
Microbacterium sp. ABRD_28	Microbacterium sp. ABRD_28	MRH1227	bacteria
Agrobacterium sp. RAC06	Agrobacterium sp. RAC06	MRH1228	bacteria
Kocuria turfanensis	Kocuria turfanensis	MRH1229	bacteria
Sphingobium hydrophobicum	Sphingobium xenophagum	MRH1230	bacteria
Sphingobium baderi	Sphingobium baderi	MRH1231	bacteria
Sphingobium amiense	Sphingobium amiense	MRH1232	bacteria
Herbaspirillum seropedicae	Herbaspirillum seropedicae	MRH1233	bacteria
Herbaspirillum rubrisubalbicans	Herbaspirillum rubrisubalbicans	MRH1234	bacteria
non-genus-specific reads in family Rhodocyclaceae	Rhodocyclaceae	MRH1235	bacteria
Sphingopyxis macrogoltabida	Sphingopyxis macrogoltabida	MRH1236	bacteria
Sphingopyxis alaskensis	Sphingopyxis alaskensis	MRH1237	bacteria
Citromicrobium	Citromicrobium	MRH1238	bacteria
Comamonas kerstersii	Comamonas kerstersii	MRH1239	bacteria
Mycobacteroides abscessus	Mycobacteroides abscessus	MRH1240	bacteria
Parageobacillus	Parageobacillus	MRH1241	bacteria
Parageobacillus thermoglucosidasius	Parageobacillus thermoglucosidasius	MRH1242	bacteria
Undibacterium sp. YM2	Undibacterium sp. YM2	MRH1243	bacteria
Leishmania panamensis	Leishmania panamensis	MRH1244	other_eukaryota
Burkholderia stabilis	Burkholderia stabilis	MRH1245	bacteria
Crithidia	Crithidia	MRH1246	other_eukaryota
Crithidia fasciculata	Crithidia fasciculata	MRH1247	other_eukaryota
Crithidia acanthocephali	Crithidia acanthocephali	MRH1248	other_eukaryota
Crithidia brevicula	Crithidia brevicula	MRH1249	other_eukaryota
Methylobacterium sp. 17Sr1-1	Methylobacterium sp. 17Sr1-1	MRH1250	bacteria
Methylobacterium hispanicum	Methylobacterium hispanicum	MRH1251	bacteria
Erythrobacter neustonensis	Erythrobacter neustonensis	MRH1252	bacteria
Pseudomonas extremorientalis	Pseudomonas extremorientalis	MRH1253	bacteria
Pseudomonas cedrina	Pseudomonas cedrina	MRH1254	bacteria
Pseudomonas sp. VLB120	Pseudomonas sp. VLB120	MRH1255	bacteria
Zelonia	Zelonia	MRH1256	other_eukaryota
Curvibacter	Curvibacter	MRH1257	bacteria
Caballeronia	Caballeronia	MRH1258	bacteria
Halobellus	Halobellus	MRH1259	archaea
Sphingomonas sp. LMO-1	Sphingomonas profundi	MRH1260	bacteria
Sphingomonas sp. HMP9	Sphingomonas sp. HMP9	MRH1261	bacteria
Aquincola	Aquincola	MRH1262	bacteria
Aquincola tertiaricarbonis	Aquincola tertiaricarbonis	MRH1263	bacteria
Brucella vulpis	Brucella vulpis	MRH1264	bacteria
Acanthamoeba	Acanthamoeba	MRH1265	other_eukaryota
Acanthamoeba castellanii	Acanthamoeba castellanii	MRH1266	other_eukaryota
Thiomonas	Thiomonas	MRH1267	bacteria
Thiomonas sp. CB2	Thiomonas sp. CB2	MRH1268	bacteria
Mesorhizobium sp. DCY119	Mesorhizobium sp. DCY119	MRH1269	bacteria
Sphingobium sp. SCG-1	Sphingobium sp. SCG-1	MRH1270	bacteria
Sphingobium chlorophenolicum	Sphingobium chlorophenolicum	MRH1271	bacteria
Mycolicibacterium phocaicum	Mycolicibacterium phocaicum	MRH1272	bacteria
Sphingosinicella microcystinivorans	Sphingosinicella microcystinivorans	MRH1273	bacteria
Aerococcus urinaeequi	Aerococcus urinaeequi	MRH1274	bacteria
Cupriavidus nantongensis	Cupriavidus nantongensis	MRH1275	bacteria
Sphingorhabdus	Sphingorhabdus	MRH1276	bacteria
Myxococcus	Myxococcus	MRH1277	bacteria
Myxococcus xanthus	Myxococcus xanthus	MRH1278	bacteria
Enterobacter cloacae complex sp. FDA-CDC-AR_0132	Enterobacter cloacae complex sp. FDA-CDC-AR_0132	MRH1279	bacteria
Cedecea lapagei	Cedecea lapagei	MRH1280	bacteria
Marinobacter	Marinobacter	MRH1281	bacteria
Marinobacter salarius	Marinobacter salarius	MRH1282	bacteria
Burkholderia gladioli	Burkholderia gladioli	MRH1283	bacteria
Thermus oshimai	Thermus oshimai	MRH1284	bacteria
Beauveria	Beauveria	MRH1285	fungus
Beauveria bassiana	Beauveria bassiana	MRH1286	fungus
Stenotrophomonas sp. NA06056	Stenotrophomonas sp. NA06056	MRH1287	bacteria
Bifidobacterium asteroides	Bifidobacterium asteroides	MRH1288	bacteria
Pasteurella	Pasteurella	MRH1289	bacteria
Pasteurella multocida	Pasteurella multocida	MRH1290	bacteria
Arsenophonus	Arsenophonus	MRH1291	bacteria
Lactobacillus amylolyticus	Lactobacillus amylolyticus	MRH1292	bacteria
Haemophilus influenzae	Haemophilus influenzae	MRH1293	bacteria
Haemophilus parahaemolyticus	Haemophilus parahaemolyticus	MRH1294	bacteria
Leptotrichia trevisanii	Leptotrichia trevisanii	MRH1295	bacteria
Fusarium pseudograminearum	Fusarium pseudograminearum	MRH1296	fungus
Flammulina	Flammulina	MRH1297	fungus
Flammulina velutipes	Flammulina velutipes	MRH1298	fungus
Neisseria cinerea	Neisseria cinerea	MRH1299	bacteria
Pseudomonas mandelii	Pseudomonas mandelii	MRH1300	bacteria
