MicroHit	TaxHit	HitID	Class
Scytonema sp. HK-05	Scytonema sp. HK-05	MRH572	bacteria
Luteimonas	Luteimonas	MRH573	bacteria
Saccharopolyspora	Saccharopolyspora	MRH574	bacteria
Tardiphaga	Tardiphaga	MRH575	bacteria
Devosia	Devosia	MRH576	bacteria
Bordetella	Bordetella	MRH577	bacteria
Bordetella pertussis	Bordetella pertussis	MRH578	bacteria
Aerococcus	Aerococcus	MRH579	bacteria
Neorhizobium	Neorhizobium	MRH580	bacteria
Stenotrophomonas acidaminiphila	Stenotrophomonas acidaminiphila	MRH581	bacteria
Lactococcus raffinolactis	Lactococcus raffinolactis	MRH582	bacteria
Kytococcus	Kytococcus	MRH583	bacteria
Gluconobacter	Gluconobacter	MRH584	bacteria
Xanthobacter	Xanthobacter	MRH585	bacteria
Xanthobacter autotrophicus	Xanthobacter autotrophicus	MRH586	bacteria
Streptococcus agalactiae	Streptococcus agalactiae	MRH587	bacteria
Wallemia mellicola	Wallemia mellicola	MRH588	fungus
Wallemia ichthyophaga	Wallemia ichthyophaga	MRH589	fungus
Micrococcus sp. V7	Micrococcus sp. V7	MRH590	bacteria
Micrococcus sp. A7	Micrococcus sp. A7	MRH591	bacteria
Micrococcus sp. 28	Micrococcus sp. 28	MRH592	bacteria
Aspergillus ruber	Aspergillus ruber	MRH593	fungus
Aspergillus versicolor	Aspergillus versicolor	MRH594	fungus
Aspergillus nidulans	Aspergillus nidulans	MRH595	fungus
Agrobacterium vitis	Agrobacterium vitis	MRH596	bacteria
Agrobacterium fabrum	Agrobacterium fabrum	MRH597	bacteria
Staphylococcus nepalensis	Staphylococcus nepalensis	MRH598	bacteria
Staphylococcus auricularis	Staphylococcus auricularis	MRH599	bacteria
Neisseria gonorrhoeae	Neisseria gonorrhoeae	MRH600	bacteria
Neisseria sicca	Neisseria sicca	MRH601	bacteria
Trichophyton	Trichophyton	MRH602	fungus
Trichophyton rubrum	Trichophyton rubrum	MRH603	fungus
[Ruminococcus] gnavus	[Ruminococcus] gnavus	MRH604	bacteria
Haemophilus haemolyticus	Haemophilus haemolyticus	MRH605	bacteria
Corynebacterium durum	Corynebacterium durum	MRH606	bacteria
Corynebacterium kutscheri	Corynebacterium kutscheri	MRH607	bacteria
Kocuria sp. BT304	Kocuria sp. BT304	MRH608	bacteria
Millerozyma	Millerozyma	MRH609	fungus
Millerozyma farinosa	Millerozyma farinosa	MRH610	fungus
Rheinheimera sp. LHK132	Rheinheimera mangrovi	MRH611	bacteria
Fannyhessea	Fannyhessea	MRH612	bacteria
Fannyhessea vaginae	Fannyhessea vaginae	MRH613	bacteria
Hafnia	Hafnia	MRH614	bacteria
Hafnia alvei	Hafnia alvei	MRH615	bacteria
Mogibacterium	Mogibacterium	MRH616	bacteria
Candida orthopsilosis	Candida orthopsilosis	MRH617	fungus
Candida parapsilosis	Candida parapsilosis	MRH618	fungus
Hyphopichia	Hyphopichia	MRH619	fungus
Hyphopichia burtonii	Hyphopichia burtonii	MRH620	fungus
Granulicatella	Granulicatella	MRH621	bacteria
Ramularia	Ramularia	MRH622	fungus
Leptotrichia hofstadii	Leptotrichia hofstadii	MRH623	bacteria
Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 171	MRH624	bacteria
Janibacter sp. YB324	Janibacter sp. YB324	MRH625	bacteria
Janibacter terrae	Janibacter terrae	MRH626	bacteria
Rothia terrae	Rothia terrae	MRH627	bacteria
Campylobacter showae	Campylobacter showae	MRH628	bacteria
Bradyrhizobium betae	Bradyrhizobium betae	MRH629	bacteria
Bradyrhizobium icense	Bradyrhizobium icense	MRH630	bacteria
Bradyrhizobium erythrophlei	Bradyrhizobium erythrophlei	MRH631	bacteria
Gordonia terrae	Gordonia terrae	MRH632	bacteria
Cardiobacterium	Cardiobacterium	MRH633	bacteria
Cardiobacterium hominis	Cardiobacterium hominis	MRH634	bacteria
Byssochlamys	Paecilomyces	MRH635	fungus
Byssochlamys spectabilis	Paecilomyces variotii	MRH636	fungus
Aeromonas veronii	Aeromonas veronii	MRH637	bacteria
Methylobacterium aquaticum	Methylobacterium aquaticum	MRH638	bacteria
Blautia	Blautia	MRH639	bacteria
Frondihabitans	Frondihabitans	MRH640	bacteria
Mycobacterium	Mycobacterium	MRH641	bacteria
Rhodobacter	Rhodobacter	MRH642	bacteria
Kytococcus sedentarius	Kytococcus sedentarius	MRH643	bacteria
Pseudonocardia	Pseudonocardia	MRH644	bacteria
Mycolicibacterium gilvum	Mycolicibacterium gilvum	MRH645	bacteria
Dyadobacter	Dyadobacter	MRH646	bacteria
Deinococcus	Deinococcus	MRH647	bacteria
Erythrobacter	Erythrobacter	MRH648	bacteria
Rhodopseudomonas	Rhodopseudomonas	MRH649	bacteria
Rhodopseudomonas palustris	Rhodopseudomonas palustris	MRH650	bacteria
Comamonas terrigena	Comamonas terrigena	MRH651	bacteria
Janthinobacterium	Janthinobacterium	MRH652	bacteria
Brachybacterium	Brachybacterium	MRH653	bacteria
Pseudoxanthomonas spadix	Pseudoxanthomonas spadix	MRH654	bacteria
Nocardioides euryhalodurans	Nocardioides euryhalodurans	MRH655	bacteria
Azotobacter	Azotobacter	MRH656	bacteria
Agrococcus	Agrococcus	MRH657	bacteria
Streptococcus sp. A12	Streptococcus sp. A12	MRH658	bacteria
Streptococcus pseudopneumoniae	Streptococcus pseudopneumoniae	MRH659	bacteria
Micrococcus sp. KBS0714	Micrococcus sp. KBS0714	MRH660	bacteria
bacterium	bacterium	MRH661	bacteria
Agrobacterium sp. 33MFTa1.1	Agrobacterium sp. 33MFTa1.1	MRH662	bacteria
Brucella intermedia	Brucella intermedia	MRH663	bacteria
Botrytis	Botrytis	MRH664	fungus
Moraxella catarrhalis	Moraxella catarrhalis	MRH665	bacteria
Dietzia sp. CQ4	Dietzia sp. CQ4	MRH666	bacteria
Staphylococcus equorum	Staphylococcus equorum	MRH667	bacteria
Staphylococcus saprophyticus	Staphylococcus saprophyticus	MRH668	bacteria
Enhydrobacter	Enhydrobacter	MRH669	bacteria
Propionibacterium sp. oral taxon 193	Cutibacterium modestum	MRH670	bacteria
Acinetobacter oleivorans	Acinetobacter oleivorans	MRH671	bacteria
Acinetobacter sp. NEB149	Acinetobacter sp. NEB149	MRH672	bacteria
Parvimonas	Parvimonas	MRH673	bacteria
Parvimonas micra	Parvimonas micra	MRH674	bacteria
Haemophilus pittmaniae	Haemophilus pittmaniae	MRH675	bacteria
Corynebacterium sanguinis	Corynebacterium sanguinis	MRH676	bacteria
Corynebacterium minutissimum	Corynebacterium minutissimum	MRH677	bacteria
Corynebacterium casei	Corynebacterium casei	MRH678	bacteria
Corynebacterium xerosis	Corynebacterium xerosis	MRH679	bacteria
